Operator,Variant,#Operations,#Threads,Time (ms),Communication (Bytes),Total Rounds
ADD,Standard,1,4,102.392,569987,0
ADD,Standard,10,4,113.274,2294550,175
ADD,Standard,100,4,94.983,2834956,175
ADD,Standard,1000,4,152.544,10763460,175
ADD,Standard,10000,4,560.187,113695276,175
ADD,Standard,100000,4,3910.19,1093717792,177
MUL,Standard,1,4,60.035,288299,0
MUL,Standard,10,4,43.337,1154914,91
MUL,Standard,100,4,47.857,1263068,91
MUL,Standard,1000,4,49.507,3088712,91
MUL,Standard,10000,4,139.887,32064384,91
MUL,Standard,100000,4,689.556,318128016,91
DIV,Standard,1,4,133.803,780924,0
DIV,Standard,10,4,122.534,3136219,249
DIV,Standard,100,4,131.655,3907848,249
DIV,Standard,1000,4,144.503,14274520,249
DIV,Standard,10000,4,461.738,152282988,249
DIV,Standard,100000,4,2868.93,1473913768,249
GT,Standard,1,4,19.055,94886,0
GT,Standard,10,4,20.946,379546,33
GT,Standard,100,4,19.212,387752,33
GT,Standard,1000,4,20.817,923368,33
GT,Standard,10000,4,126.496,11377376,33
GT,Standard,100000,4,298.422,87414832,33
SINPI,Standard,1,4,498.359,2440234,0
SINPI,Standard,10,4,375.262,9803927,767
SINPI,Standard,100,4,401.094,11664120,767
SINPI,Standard,1000,4,461.8,40783284,767
SINPI,Standard,10000,4,1587.44,433773264,767
SINPI,Standard,100000,4,11265.2,4175396880,767
COSPI,Standard,1,4,765.687,3464312,0
COSPI,Standard,10,4,534.064,13919770,1081
COSPI,Standard,100,4,534.002,16320728,1081
COSPI,Standard,1000,4,623.76,54955628,1081
COSPI,Standard,10000,4,2031.45,583221772,1081
COSPI,Standard,100000,4,14562.9,5640723240,1081
TANPI,Standard,1,4,741.996,3528119,0
TANPI,Standard,10,4,571.262,14179501,1111
TANPI,Standard,100,4,610.85,16994676,1111
TANPI,Standard,1000,4,659.635,61952644,1111
TANPI,Standard,10000,4,2245.2,665960592,1111
TANPI,Standard,100000,4,16101.5,6342674856,1111
LOG2,Standard,1,4,589.957,2615138,0
LOG2,Standard,10,4,464.071,10523028,807
LOG2,Standard,100,4,452.766,12917808,807
LOG2,Standard,1000,4,527.623,48972768,807
LOG2,Standard,10000,4,2018.04,527117032,807
LOG2,Standard,100000,4,14951.6,5002445656,809
EXP2,Standard,1,4,375.441,1828463,0
EXP2,Standard,10,4,308.951,7362942,577
EXP2,Standard,100,4,346.647,9208860,577
EXP2,Standard,1000,4,414.686,35978768,577
EXP2,Standard,10000,4,1544.14,381272488,577
EXP2,Standard,100000,4,11276.6,3663996096,579
COSPI,Standard,1,4,449.273,2456642,0
COSPI,Standard,10,4,397.058,9869559,771
COSPI,Standard,100,4,497.218,11730040,771
COSPI,Standard,1000,4,556.546,40851892,771
COSPI,Standard,10000,4,1600.11,434294832,771
COSPI,Standard,100000,4,11289.6,4183593968,771
MUL,Standard,8192,1,321.547,25554944,91
ADD,Standard,8192,1,1255.63,88406016,175
ADD,Standard,10,1,99.431,614577,175
ADD,Standard,100,1,122.234,1423339,175
ADD,Standard,100,1,129.974,1423339,175
ADD,Standard,100,4,143.852,2834956,175
ADD,Standard,100,4,108.82,2834956,175
ADD,Standard,10,4,168.849,2294550,175
ADD,Standard,1,4,110.607,404556,0
ADD,Standard,10,4,92.185,1625088,133
ADD,Standard,100,4,87.783,2014576,133
ADD,Standard,1000,4,105.223,7452332,133
ADD,Standard,10000,4,347.237,76498940,133
ADD,Standard,100000,4,2592.23,772976800,133
ADD,Standard,1,4,111.56,670718,0
ADD,Standard,10,4,81.276,2713460,138
ADD,Standard,100,4,77.014,3458808,138
ADD,Standard,1000,4,108.338,12455164,138
ADD,Standard,10000,4,353.379,124427804,138
ADD,Standard,100000,4,2596.22,1358412512,140
